fold,run,eta,h1,h2,mse_te
1,0,0.0001,8.0,6.0,21.75888084739213
1,1,0.0001,8.0,6.0,18.27632189834436
1,2,0.0001,8.0,6.0,37.49903367552744
1,3,0.0001,8.0,6.0,13.964209874997147
1,4,0.0001,8.0,6.0,10.229210863996682
1,5,0.0001,8.0,6.0,9.984713803545116
1,6,0.0001,8.0,6.0,9.677763467907091
1,7,0.0001,8.0,6.0,9.36049668531629
1,8,0.0001,8.0,6.0,9.049233010798282
1,9,0.0001,8.0,6.0,8.75627264374212
1,10,0.0001,8.0,6.0,8.48452065944217
1,11,0.0001,8.0,6.0,8.235222018469239
1,12,0.0001,8.0,6.0,8.011275716232333
1,13,0.0001,8.0,6.0,7.814201830955091
1,14,0.0001,8.0,6.0,7.6449651248700565
1,15,0.0001,8.0,6.0,7.502585664201159
1,16,0.0001,8.0,6.0,7.385004917098396
1,17,0.0001,8.0,6.0,7.289072928272265
1,18,0.0001,8.0,6.0,7.211337992117896
1,19,0.0001,8.0,6.0,7.148299559496496
1,20,0.0001,8.0,6.0,7.096805626636718
1,21,0.0001,8.0,6.0,7.054132247563652
1,22,0.0001,8.0,6.0,7.01806236292763
1,23,0.0001,8.0,6.0,6.986831678450667
1,24,0.0001,8.0,6.0,6.959079920492171
1,25,0.0001,8.0,6.0,6.933768693302215
1,26,0.0001,8.0,6.0,6.910116012876842
1,27,0.0001,8.0,6.0,6.887532440380157
1,28,0.0001,8.0,6.0,6.86557299418813
1,29,0.0001,8.0,6.0,6.843897268777389
1,30,0.0001,8.0,6.0,6.8222402943798395
1,31,0.0001,8.0,6.0,6.8003899162926285
1,32,0.0001,8.0,6.0,6.77817054666736
1,33,0.0001,8.0,6.0,6.755430704355572
1,34,0.0001,8.0,6.0,6.732034206197357
1,35,0.0001,8.0,6.0,6.707853110350905
1,36,0.0001,8.0,6.0,6.682762905168058
1,37,0.0001,8.0,6.0,6.656638167878227
1,38,0.0001,8.0,6.0,6.629349930656259
1,39,0.0001,8.0,6.0,6.6007627242453
1,40,0.0001,8.0,6.0,6.570733420347698
1,41,0.0001,8.0,6.0,6.539109214587358
1,42,0.0001,8.0,6.0,6.505728167101161
1,43,0.0001,8.0,6.0,6.470418416635467
1,44,0.0001,8.0,6.0,6.433001802719621
1,45,0.0001,8.0,6.0,6.3932954796099315
1,46,0.0001,8.0,6.0,6.351122025821447
1,47,0.0001,8.0,6.0,6.306315540618508
1,48,0.0001,8.0,6.0,6.258745129999804
2,0,0.0001,8.0,6.0,22.042202846392794
2,1,0.0001,8.0,6.0,18.48588487551999
2,2,0.0001,8.0,6.0,37.09685081129624
2,3,0.0001,8.0,6.0,14.009636982484636
2,4,0.0001,8.0,6.0,10.575464314016566
2,5,0.0001,8.0,6.0,10.300729115087957
2,6,0.0001,8.0,6.0,9.963617706526515
2,7,0.0001,8.0,6.0,9.61592041724619
2,8,0.0001,8.0,6.0,9.276702217158597
2,9,0.0001,8.0,6.0,8.957740633243898
2,10,0.0001,8.0,6.0,8.66173556821572
2,11,0.0001,8.0,6.0,8.390120098180688
2,12,0.0001,8.0,6.0,8.145997434300623
2,13,0.0001,8.0,6.0,7.931169080474001
2,14,0.0001,8.0,6.0,7.746674715130179
2,15,0.0001,8.0,6.0,7.5915263010077805
2,16,0.0001,8.0,6.0,7.463463608354431
2,17,0.0001,8.0,6.0,7.359090044394541
2,18,0.0001,8.0,6.0,7.274620635682629
2,19,0.0001,8.0,6.0,7.206255605405097
2,20,0.0001,8.0,6.0,7.150538830874498
2,21,0.0001,8.0,6.0,7.104509480758459
2,22,0.0001,8.0,6.0,7.065736409466499
2,23,0.0001,8.0,6.0,7.032302303106754
2,24,0.0001,8.0,6.0,7.0027152607179275
2,25,0.0001,8.0,6.0,6.97584817766212
2,26,0.0001,8.0,6.0,6.950843432974835
2,27,0.0001,8.0,6.0,6.9270629353835265
2,28,0.0001,8.0,6.0,6.904019285194049
2,29,0.0001,8.0,6.0,6.881345941757789
2,30,0.0001,8.0,6.0,6.858753879409897
2,31,0.0001,8.0,6.0,6.836016676652489
2,32,0.0001,8.0,6.0,6.812944274444323
2,33,0.0001,8.0,6.0,6.789376631692286
2,34,0.0001,8.0,6.0,6.765167453582011
2,35,0.0001,8.0,6.0,6.740182094819602
2,36,0.0001,8.0,6.0,6.714286667191622
2,37,0.0001,8.0,6.0,6.6873477611445935
2,38,0.0001,8.0,6.0,6.659224278021345
2,39,0.0001,8.0,6.0,6.6297677570497475
2,40,0.0001,8.0,6.0,6.598815590235776
2,41,0.0001,8.0,6.0,6.566191596909053
2,42,0.0001,8.0,6.0,6.531700604376986
2,43,0.0001,8.0,6.0,6.495130105545956
2,44,0.0001,8.0,6.0,6.456248901141875
2,45,0.0001,8.0,6.0,6.4148132217828
2,46,0.0001,8.0,6.0,6.3705785598974
2,47,0.0001,8.0,6.0,6.323316173925987
2,48,0.0001,8.0,6.0,6.272858334508385
3,0,0.0001,8.0,6.0,19.141568076264345
3,1,0.0001,8.0,6.0,19.851377457452248
3,2,0.0001,8.0,6.0,34.73564286985478
3,3,0.0001,8.0,6.0,12.61032763909532
3,4,0.0001,8.0,6.0,9.814906827311805
3,5,0.0001,8.0,6.0,9.43563619932952
3,6,0.0001,8.0,6.0,9.168135857949
3,7,0.0001,8.0,6.0,8.81379686659691
3,8,0.0001,8.0,6.0,8.507027820693008
3,9,0.0001,8.0,6.0,8.209886259168028
3,10,0.0001,8.0,6.0,7.945011443409504
3,11,0.0001,8.0,6.0,7.701844759202297
3,12,0.0001,8.0,6.0,7.487940647041542
3,13,0.0001,8.0,6.0,7.301343237793396
3,14,0.0001,8.0,6.0,7.144037668858991
3,15,0.0001,8.0,6.0,7.013488964198356
3,16,0.0001,8.0,6.0,6.907696851022662
3,17,0.0001,8.0,6.0,6.822723730722975
3,18,0.0001,8.0,6.0,6.755100787326586
3,19,0.0001,8.0,6.0,6.701034139656969
3,20,0.0001,8.0,6.0,6.657472315199425
3,21,0.0001,8.0,6.0,6.621671018665595
3,22,0.0001,8.0,6.0,6.5915759733401424
3,23,0.0001,8.0,6.0,6.565504299110781
3,24,0.0001,8.0,6.0,6.5422527320679755
3,25,0.0001,8.0,6.0,6.520878204622794
3,26,0.0001,8.0,6.0,6.500722469091183
3,27,0.0001,8.0,6.0,6.481275063184241
3,28,0.0001,8.0,6.0,6.462180173492589
3,29,0.0001,8.0,6.0,6.4431556786024
3,30,0.0001,8.0,6.0,6.423998833631165
3,31,0.0001,8.0,6.0,6.404538953275862
3,32,0.0001,8.0,6.0,6.384644072456577
3,33,0.0001,8.0,6.0,6.364192481196985
3,34,0.0001,8.0,6.0,6.343079715634139
3,35,0.0001,8.0,6.0,6.321200322366216
3,36,0.0001,8.0,6.0,6.298454648472913
3,37,0.0001,8.0,6.0,6.274736118051539
3,38,0.0001,8.0,6.0,6.2499378512159
3,39,0.0001,8.0,6.0,6.223943017155125
3,40,0.0001,8.0,6.0,6.196631895718754
3,41,0.0001,8.0,6.0,6.167874257195753
3,42,0.0001,8.0,6.0,6.137538213100896
3,43,0.0001,8.0,6.0,6.105484539242064
3,44,0.0001,8.0,6.0,6.0715797571978
3,45,0.0001,8.0,6.0,6.035692870761595
3,46,0.0001,8.0,6.0,5.997716561379789
3,47,0.0001,8.0,6.0,5.957565742698033
