fold,run,eta,h1,h2,mse_te
1,0,0.001,4.0,2.0,2.146374535631574
1,1,0.001,4.0,2.0,1.9311806339598818
1,2,0.001,4.0,2.0,1.8867596567287495
1,3,0.001,4.0,2.0,1.8812435347618468
1,4,0.001,4.0,2.0,1.8822431876415473
1,5,0.001,4.0,2.0,1.8834446287471598
1,6,0.001,4.0,2.0,1.8841354882680592
1,7,0.001,4.0,2.0,1.884474075232008
1,8,0.001,4.0,2.0,1.8846307805995828
1,9,0.001,4.0,2.0,1.884701631573571
1,10,0.001,4.0,2.0,1.8847333459720235
1,11,0.001,4.0,2.0,1.8847474799177573
1,12,0.001,4.0,2.0,1.884753766701941
1,13,0.001,4.0,2.0,1.8847565606362642
1,14,0.001,4.0,2.0,1.8847578017900994
1,15,0.001,4.0,2.0,1.8847583530184326
1,16,0.001,4.0,2.0,1.8847585977761931
1,17,0.001,4.0,2.0,1.8847587064118825
1,18,0.001,4.0,2.0,1.8847587545904423
1,19,0.001,4.0,2.0,1.8847587759182092
1,20,0.001,4.0,2.0,1.884758785320873
1,21,0.001,4.0,2.0,1.8847587894273394
1,22,0.001,4.0,2.0,1.8847587911816677
1,23,0.001,4.0,2.0,1.88475879189139
1,24,0.001,4.0,2.0,1.8847587921372033
1,25,0.001,4.0,2.0,1.8847587921770175
1,26,0.001,4.0,2.0,1.884758792125371
1,27,0.001,4.0,2.0,1.8847587920331352
1,28,0.001,4.0,2.0,1.8847587919228987
1,29,0.001,4.0,2.0,1.8847587918047
2,0,0.001,4.0,2.0,2.320316824040801
2,1,0.001,4.0,2.0,2.1051786461602355
2,2,0.001,4.0,2.0,2.058293800584444
2,3,0.001,4.0,2.0,2.0506828610189123
2,4,0.001,4.0,2.0,2.0504496020570535
2,5,0.001,4.0,2.0,2.0510258215746555
2,6,0.001,4.0,2.0,2.0514204058797154
2,7,0.001,4.0,2.0,2.051622948177446
2,8,0.001,4.0,2.0,2.0517180951123333
2,9,0.001,4.0,2.0,2.051761282476528
2,10,0.001,4.0,2.0,2.0517806053548346
2,11,0.001,4.0,2.0,2.051789197343005
2,12,0.001,4.0,2.0,2.051793007572601
2,13,0.001,4.0,2.0,2.051794695407807
2,14,0.001,4.0,2.0,2.0517954428456884
2,15,0.001,4.0,2.0,2.0517957739280193
2,16,0.001,4.0,2.0,2.0517959207336647
2,17,0.001,4.0,2.0,2.0517959859916863
2,18,0.001,4.0,2.0,2.05179601516501
2,19,0.001,4.0,2.0,2.051796028371405
2,20,0.001,4.0,2.0,2.0517960345128
2,21,0.001,4.0,2.0,2.0517960375281437
2,22,0.001,4.0,2.0,2.0517960391603336
2,23,0.001,4.0,2.0,2.0517960401805633
2,24,0.001,4.0,2.0,2.0517960409300677
2,25,0.001,4.0,2.0,2.0517960415598364
2,26,0.001,4.0,2.0,2.0517960421366768
2,27,0.001,4.0,2.0,2.0517960426901496
2,28,0.001,4.0,2.0,2.0517960432333364
2,29,0.001,4.0,2.0,2.051796043772026
3,0,0.001,4.0,2.0,2.434524676216262
3,1,0.001,4.0,2.0,2.1514594777290545
3,2,0.001,4.0,2.0,2.0673848206968475
3,3,0.001,4.0,2.0,2.041267935714504
3,4,0.001,4.0,2.0,2.032355685877778
