fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.001,6.0,6.0,126.45659309458335,0.6136363636363636
1,1,0.001,6.0,6.0,118.19571816938745,0.6136363636363636
1,2,0.001,6.0,6.0,117.47369287882023,0.6136363636363636
1,3,0.001,6.0,6.0,117.41344354979987,0.6136363636363636
1,4,0.001,6.0,6.0,117.40858673765862,0.6136363636363636
1,5,0.001,6.0,6.0,117.40820402014955,0.6136363636363636
1,6,0.001,6.0,6.0,117.40817504295224,0.6136363636363636
1,7,0.001,6.0,6.0,117.40817291732058,0.6136363636363636
1,8,0.001,6.0,6.0,117.40817253561684,0.6136363636363636
1,9,0.001,6.0,6.0,117.40817218042821,0.6136363636363636
1,10,0.001,6.0,6.0,117.40817179555913,0.6136363636363636
1,11,0.001,6.0,6.0,117.40817139929072,0.6136363636363636
1,12,0.001,6.0,6.0,117.4081709994878,0.6136363636363636
1,13,0.001,6.0,6.0,117.40817059857986,0.6136363636363636
1,14,0.001,6.0,6.0,117.40817019726745,0.6136363636363636
1,15,0.001,6.0,6.0,117.40816979574876,0.6136363636363636
1,16,0.001,6.0,6.0,117.40816939407956,0.6136363636363636
1,17,0.001,6.0,6.0,117.40816899227542,0.6136363636363636
1,18,0.001,6.0,6.0,117.4081685903406,0.6136363636363636
1,19,0.001,6.0,6.0,117.40816818827622,0.6136363636363636
1,20,0.001,6.0,6.0,117.40816778608247,0.6136363636363636
1,21,0.001,6.0,6.0,117.40816738375935,0.6136363636363636
1,22,0.001,6.0,6.0,117.40816698130675,0.6136363636363636
1,23,0.001,6.0,6.0,117.4081665787245,0.6136363636363636
1,24,0.001,6.0,6.0,117.40816617601254,0.6136363636363636
1,25,0.001,6.0,6.0,117.40816577317068,0.6136363636363636
1,26,0.001,6.0,6.0,117.40816537019882,0.6136363636363636
1,27,0.001,6.0,6.0,117.4081649670968,0.6136363636363636
1,28,0.001,6.0,6.0,117.40816456386452,0.6136363636363636
1,29,0.001,6.0,6.0,117.4081641605018,0.6136363636363636
1,30,0.001,6.0,6.0,117.40816375700857,0.6136363636363636
1,31,0.001,6.0,6.0,117.40816335338464,0.6136363636363636
1,32,0.001,6.0,6.0,117.40816294962991,0.6136363636363636
1,33,0.001,6.0,6.0,117.40816254574423,0.6136363636363636
1,34,0.001,6.0,6.0,117.40816214172747,0.6136363636363636
1,35,0.001,6.0,6.0,117.40816173757949,0.6136363636363636
1,36,0.001,6.0,6.0,117.40816133330019,0.6136363636363636
1,37,0.001,6.0,6.0,117.4081609288894,0.6136363636363636
1,38,0.001,6.0,6.0,117.408160524347,0.6136363636363636
1,39,0.001,6.0,6.0,117.40816011967283,0.6136363636363636
1,40,0.001,6.0,6.0,117.40815971486681,0.6136363636363636
1,41,0.001,6.0,6.0,117.40815930992876,0.6136363636363636
1,42,0.001,6.0,6.0,117.40815890485858,0.6136363636363636
1,43,0.001,6.0,6.0,117.40815849965608,0.6136363636363636
1,44,0.001,6.0,6.0,117.4081580943212,0.6136363636363636
1,45,0.001,6.0,6.0,117.40815768885375,0.6136363636363636
1,46,0.001,6.0,6.0,117.40815728325364,0.6136363636363636
1,47,0.001,6.0,6.0,117.4081568775207,0.6136363636363636
1,48,0.001,6.0,6.0,117.40815647165479,0.6136363636363636
1,49,0.001,6.0,6.0,117.40815606565579,0.6136363636363636
1,50,0.001,6.0,6.0,117.4081556595236,0.6136363636363636
1,51,0.001,6.0,6.0,117.40815525325803,0.6136363636363636
1,52,0.001,6.0,6.0,117.40815484685896,0.6136363636363636
1,53,0.001,6.0,6.0,117.40815444032629,0.6136363636363636
1,54,0.001,6.0,6.0,117.40815403365981,0.6136363636363636
1,55,0.001,6.0,6.0,117.40815362685947,0.6136363636363636
1,56,0.001,6.0,6.0,117.40815321992511,0.6136363636363636
1,57,0.001,6.0,6.0,117.40815281285654,0.6136363636363636
1,58,0.001,6.0,6.0,117.40815240565368,0.6136363636363636
1,59,0.001,6.0,6.0,117.40815199831641,0.6136363636363636
1,60,0.001,6.0,6.0,117.40815159084454,0.6136363636363636
1,61,0.001,6.0,6.0,117.40815118323798,0.6136363636363636
2,0,0.001,6.0,6.0,123.52217928194055,0.6162790697674418
2,1,0.001,6.0,6.0,115.30115531793066,0.6162790697674418
2,2,0.001,6.0,6.0,114.59264610492761,0.6162790697674418
2,3,0.001,6.0,6.0,114.53328570975721,0.6162790697674418
2,4,0.001,6.0,6.0,114.528190161235,0.6162790697674418
2,5,0.001,6.0,6.0,114.5276815248715,0.6162790697674418
2,6,0.001,6.0,6.0,114.52761097335619,0.6162790697674418
2,7,0.001,6.0,6.0,114.52759663858933,0.6162790697674418
2,8,0.001,6.0,6.0,114.52759288551155,0.6162790697674418
2,9,0.001,6.0,6.0,114.52759170614547,0.6162790697674418
2,10,0.001,6.0,6.0,114.52759122130462,0.6162790697674418
2,11,0.001,6.0,6.0,114.52759093012799,0.6162790697674418
2,12,0.001,6.0,6.0,114.52759069343071,0.6162790697674418
2,13,0.001,6.0,6.0,114.52759047204827,0.6162790697674418
2,14,0.001,6.0,6.0,114.52759025491753,0.6162790697674418
2,15,0.001,6.0,6.0,114.52759003890867,0.6162790697674418
2,16,0.001,6.0,6.0,114.52758982313554,0.6162790697674418
2,17,0.001,6.0,6.0,114.52758960734704,0.6162790697674418
2,18,0.001,6.0,6.0,114.52758939147189,0.6162790697674418
2,19,0.001,6.0,6.0,114.5275891754898,0.6162790697674418
2,20,0.001,6.0,6.0,114.52758895939498,0.6162790697674418
2,21,0.001,6.0,6.0,114.52758874318569,0.6162790697674418
2,22,0.001,6.0,6.0,114.52758852686136,0.6162790697674418
2,23,0.001,6.0,6.0,114.5275883104218,0.6162790697674418
2,24,0.001,6.0,6.0,114.52758809386683,0.6162790697674418
2,25,0.001,6.0,6.0,114.52758787719638,0.6162790697674418
2,26,0.001,6.0,6.0,114.52758766041035,0.6162790697674418
2,27,0.001,6.0,6.0,114.52758744350862,0.6162790697674418
2,28,0.001,6.0,6.0,114.52758722649111,0.6162790697674418
