fold,run,eta,h1,h2,mse_te
1,0,0.01,8.0,6.0,74943.09555075082
1,1,0.01,8.0,6.0,129792.03752059846
1,2,0.01,8.0,6.0,34873.117641503995
1,3,0.01,8.0,6.0,34279.72406367462
1,4,0.01,8.0,6.0,30999.822160037595
2,0,0.01,8.0,6.0,77642.13832907767
2,1,0.01,8.0,6.0,73870.67998165893
2,2,0.01,8.0,6.0,24036.979205190328
2,3,0.01,8.0,6.0,9814.94314591542
2,4,0.01,8.0,6.0,11047.704262298348
3,0,0.01,8.0,6.0,73563.4028408075
3,1,0.01,8.0,6.0,81401.83088418256
3,2,0.01,8.0,6.0,20908.461233274455
3,3,0.01,8.0,6.0,8699.07071886172
3,4,0.01,8.0,6.0,9061.226549536634
4,0,0.01,8.0,6.0,102055.37621579258
4,1,0.01,8.0,6.0,183651.9790819974
4,2,0.01,8.0,6.0,70343.83098876146
4,3,0.01,8.0,6.0,75908.14007664371
4,4,0.01,8.0,6.0,70206.04566466632
5,0,0.01,8.0,6.0,90661.0912344447
5,1,0.01,8.0,6.0,69562.14218473637
5,2,0.01,8.0,6.0,25476.95916871599
5,3,0.01,8.0,6.0,9015.259927568975
5,4,0.01,8.0,6.0,11223.075708020031
