fold,run,eta,h1,h2,mse_te
1,0,0.0001,8.0,6.0,21.72224201057529
1,1,0.0001,8.0,6.0,18.129772029018262
1,2,0.0001,8.0,6.0,37.02196579431215
1,3,0.0001,8.0,6.0,13.691119086642397
1,4,0.0001,8.0,6.0,10.255826688480267
1,5,0.0001,8.0,6.0,10.012234848619386
1,6,0.0001,8.0,6.0,9.703896890443987
1,7,0.0001,8.0,6.0,9.38799179832815
1,8,0.0001,8.0,6.0,9.075497809371393
1,9,0.0001,8.0,6.0,8.78019784220337
1,10,0.0001,8.0,6.0,8.505670293028563
1,11,0.0001,8.0,6.0,8.253045337104465
1,12,0.0001,8.0,6.0,8.025845088366838
1,13,0.0001,8.0,6.0,7.8255434616114705
1,14,0.0001,8.0,6.0,7.653496468264698
1,15,0.0001,8.0,6.0,7.508700379475356
1,16,0.0001,8.0,6.0,7.389231518325841
1,17,0.0001,8.0,6.0,7.29185217449466
1,18,0.0001,8.0,6.0,7.2130877930475314
1,19,0.0001,8.0,6.0,7.149328860122608
1,20,0.0001,8.0,6.0,7.097359674533415
1,21,0.0001,8.0,6.0,7.05437482217439
1,22,0.0001,8.0,6.0,7.018108424385029
1,23,0.0001,8.0,6.0,6.986750557007143
1,24,0.0001,8.0,6.0,6.9589145079280526
1,25,0.0001,8.0,6.0,6.933540639071437
1,26,0.0001,8.0,6.0,6.909835111670975
1,27,0.0001,8.0,6.0,6.8871997324185354
1,28,0.0001,8.0,6.0,6.865184753896114
1,29,0.0001,8.0,6.0,6.843446312867365
1,30,0.0001,8.0,6.0,6.821717496546271
1,31,0.0001,8.0,6.0,6.7997845355407405
1,32,0.0001,8.0,6.0,6.777470760254435
1,33,0.0001,8.0,6.0,6.754623457798419
1,34,0.0001,8.0,6.0,6.7311054173663765
1,35,0.0001,8.0,6.0,6.7067872563589725
1,36,0.0001,8.0,6.0,6.681543161860849
1,37,0.0001,8.0,6.0,6.655245787451939
1,38,0.0001,8.0,6.0,6.627764442001316
1,39,0.0001,8.0,6.0,6.5989610690319305
1,40,0.0001,8.0,6.0,6.568690343721292
1,41,0.0001,8.0,6.0,6.536796065951613
1,42,0.0001,8.0,6.0,6.50311375576298
1,43,0.0001,8.0,6.0,6.467467301413824
1,44,0.0001,8.0,6.0,6.429676313355598
1,45,0.0001,8.0,6.0,6.3895531054513865
1,46,0.0001,8.0,6.0,6.346920456437104
1,47,0.0001,8.0,6.0,6.301607861376068
1,48,0.0001,8.0,6.0,6.253492876891846
2,0,0.0001,8.0,6.0,21.687072066963136
2,1,0.0001,8.0,6.0,18.619796419697934
2,2,0.0001,8.0,6.0,37.62073933431264
2,3,0.0001,8.0,6.0,14.14942078336238
2,4,0.0001,8.0,6.0,10.56174607215804
2,5,0.0001,8.0,6.0,10.275153461565408
2,6,0.0001,8.0,6.0,9.926031675484836
2,7,0.0001,8.0,6.0,9.570012119880898
2,8,0.0001,8.0,6.0,9.227711653407138
2,9,0.0001,8.0,6.0,8.908944104665986
2,10,0.0001,8.0,6.0,8.615311527416212
2,11,0.0001,8.0,6.0,8.34753301759273
2,12,0.0001,8.0,6.0,8.108173258238995
2,13,0.0001,8.0,6.0,7.898571537179125
2,14,0.0001,8.0,6.0,7.7193328743416165
2,15,0.0001,8.0,6.0,7.56914203576664
2,16,0.0001,8.0,6.0,7.445504133486438
2,17,0.0001,8.0,6.0,7.344913361748968
2,18,0.0001,8.0,6.0,7.26355988992443
2,19,0.0001,8.0,6.0,7.197690349400655
2,20,0.0001,8.0,6.0,7.143926556343855
2,21,0.0001,8.0,6.0,7.099401309264865
2,22,0.0001,8.0,6.0,7.061773367030099
2,23,0.0001,8.0,6.0,7.029206136422998
2,24,0.0001,8.0,6.0,7.000274729692301
2,25,0.0001,8.0,6.0,6.973905886403334
2,26,0.0001,8.0,6.0,6.949283936786397
2,27,0.0001,8.0,6.0,6.925802716515338
2,28,0.0001,8.0,6.0,6.9029990671702555
2,29,0.0001,8.0,6.0,6.880524431775272
2,30,0.0001,8.0,6.0,6.858103436349622
2,31,0.0001,8.0,6.0,6.8355197318229655
2,32,0.0001,8.0,6.0,6.812591090359897
2,33,0.0001,8.0,6.0,6.789163331869567
2,34,0.0001,8.0,6.0,6.765094959942233
2,35,0.0001,8.0,6.0,6.740255063948344
2,36,0.0001,8.0,6.0,6.714513077460296
2,37,0.0001,8.0,6.0,6.68773836858899
2,38,0.0001,8.0,6.0,6.6597925925806605
2,39,0.0001,8.0,6.0,6.630529845304612
2,40,0.0001,8.0,6.0,6.599790343347039
2,41,0.0001,8.0,6.0,6.567400835877089
2,42,0.0001,8.0,6.0,6.53316958410996
2,43,0.0001,8.0,6.0,6.496887870327424
2,44,0.0001,8.0,6.0,6.458328703098331
2,45,0.0001,8.0,6.0,6.417252734921239
2,46,0.0001,8.0,6.0,6.373418853778172
2,47,0.0001,8.0,6.0,6.326600796642827
2,48,0.0001,8.0,6.0,6.276627344149842
3,0,0.0001,8.0,6.0,19.20633074029733
3,1,0.0001,8.0,6.0,19.820997042317067
3,2,0.0001,8.0,6.0,34.719674472487924
3,3,0.0001,8.0,6.0,12.57207433822286
3,4,0.0001,8.0,6.0,9.83041823517064
3,5,0.0001,8.0,6.0,9.450786327507487
3,6,0.0001,8.0,6.0,9.1940277163227
3,7,0.0001,8.0,6.0,8.845180565334127
3,8,0.0001,8.0,6.0,8.541950120196105
3,9,0.0001,8.0,6.0,8.245307197385904
3,10,0.0001,8.0,6.0,7.9795857528843035
3,11,0.0001,8.0,6.0,7.734196148548556
3,12,0.0001,8.0,6.0,7.517265393856572
3,13,0.0001,8.0,6.0,7.327062437673419
3,14,0.0001,8.0,6.0,7.165994037318037
3,15,0.0001,8.0,6.0,7.031787874771293
3,16,0.0001,8.0,6.0,6.922696489793164
3,17,0.0001,8.0,6.0,6.834891457561278
3,18,0.0001,8.0,6.0,6.764959908314375
3,19,0.0001,8.0,6.0,6.709078044129884
3,20,0.0001,8.0,6.0,6.664145346501891
3,21,0.0001,8.0,6.0,6.627340735363039
3,22,0.0001,8.0,6.0,6.596542439222047
3,23,0.0001,8.0,6.0,6.570000097056961
3,24,0.0001,8.0,6.0,6.5464595781584585
3,25,0.0001,8.0,6.0,6.524933596014549
3,26,0.0001,8.0,6.0,6.504733447328327
3,27,0.0001,8.0,6.0,6.485323836389984
3,28,0.0001,8.0,6.0,6.466333266870703
3,29,0.0001,8.0,6.0,6.447467327530654
3,30,0.0001,8.0,6.0,6.428516613020784
3,31,0.0001,8.0,6.0,6.409305551273451
3,32,0.0001,8.0,6.0,6.389700762455604
3,33,0.0001,8.0,6.0,6.36958000675157
3,34,0.0001,8.0,6.0,6.348840573932923
3,35,0.0001,8.0,6.0,6.3273792357773
3,36,0.0001,8.0,6.0,6.305100220100448
3,37,0.0001,8.0,6.0,6.281901108210992
3,38,0.0001,8.0,6.0,6.257680451511444
3,39,0.0001,8.0,6.0,6.232326920918277
3,40,0.0001,8.0,6.0,6.205727155305267
3,41,0.0001,8.0,6.0,6.177756863398092
3,42,0.0001,8.0,6.0,6.148290149299591
3,43,0.0001,8.0,6.0,6.1171921773298985
3,44,0.0001,8.0,6.0,6.084332233242497
3,45,0.0001,8.0,6.0,6.049578079628539
3,46,0.0001,8.0,6.0,6.012816526414411
3,47,0.0001,8.0,6.0,5.9739488497468916
3,48,0.0001,8.0,6.0,5.932924388630915
4,0,0.0001,8.0,6.0,23.348453413733235
4,1,0.0001,8.0,6.0,17.59671685050331
4,2,0.0001,8.0,6.0,39.17940472732416
4,3,0.0001,8.0,6.0,14.91225228579607
4,4,0.0001,8.0,6.0,10.924948495440583
4,5,0.0001,8.0,6.0,10.796591679548563
4,6,0.0001,8.0,6.0,10.426564238173798
4,7,0.0001,8.0,6.0,10.12448227870808
4,8,0.0001,8.0,6.0,9.786209319316379
4,9,0.0001,8.0,6.0,9.47656886109506
4,10,0.0001,8.0,6.0,9.177638088422812
4,11,0.0001,8.0,6.0,8.903830668024343
4,12,0.0001,8.0,6.0,8.653691859673513
4,13,0.0001,8.0,6.0,8.432827107579824
4,14,0.0001,8.0,6.0,8.241062084313823
4,15,0.0001,8.0,6.0,8.078826687758317
4,16,0.0001,8.0,6.0,7.943488809266724
4,17,0.0001,8.0,6.0,7.832283422083098
4,18,0.0001,8.0,6.0,7.7412804758363265
4,19,0.0001,8.0,6.0,7.666976779521248
4,20,0.0001,8.0,6.0,7.605824930978856
4,21,0.0001,8.0,6.0,7.554991811779838
4,22,0.0001,8.0,6.0,7.511966256734529
4,23,0.0001,8.0,6.0,7.474872618713834
4,24,0.0001,8.0,6.0,7.442146710866929
4,25,0.0001,8.0,6.0,7.412663655308046
4,26,0.0001,8.0,6.0,7.385504980121647
4,27,0.0001,8.0,6.0,7.36002071535104
4,28,0.0001,8.0,6.0,7.335676281985124
4,29,0.0001,8.0,6.0,7.312091828583257
4,30,0.0001,8.0,6.0,7.288944896944485
4,31,0.0001,8.0,6.0,7.266000105511275
4,32,0.0001,8.0,6.0,7.243046686108747
4,33,0.0001,8.0,6.0,7.219922442612136
4,34,0.0001,8.0,6.0,7.196471925716259
4,35,0.0001,8.0,6.0,7.172566282437261
4,36,0.0001,8.0,6.0,7.1480732715265844
4,37,0.0001,8.0,6.0,7.1228741335228705
4,38,0.0001,8.0,6.0,7.096840131096112
4,39,0.0001,8.0,6.0,7.069847494228526
4,40,0.0001,8.0,6.0,7.041757159343884
4,41,0.0001,8.0,6.0,7.01242894382642
4,42,0.0001,8.0,6.0,6.9817022099227275
4,43,0.0001,8.0,6.0,6.9494108531117105
4,44,0.0001,8.0,6.0,6.915363142966987
4,45,0.0001,8.0,6.0,6.879360317291853
4,46,0.0001,8.0,6.0,6.841174084977365
4,47,0.0001,8.0,6.0,6.800574520606199
4,48,0.0001,8.0,6.0,6.757303360229103
5,0,0.0001,8.0,6.0,20.303755361057586
5,1,0.0001,8.0,6.0,17.843111761892995
