fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.4,8.0,6.0,,0.3475177304964539
1,1,0.4,8.0,6.0,6132.738110577249,0.3475177304964539
1,2,0.4,8.0,6.0,,0.3475177304964539
1,3,0.4,8.0,6.0,2182.409802930125,0.3475177304964539
1,4,0.4,8.0,6.0,,0.3475177304964539
1,5,0.4,8.0,6.0,,0.3475177304964539
1,6,0.4,8.0,6.0,1633.6098343726617,0.3475177304964539
1,7,0.4,8.0,6.0,,0.3475177304964539
1,8,0.4,8.0,6.0,,0.3475177304964539
1,9,0.4,8.0,6.0,1084.815917533725,0.3475177304964539
1,10,0.4,8.0,6.0,,0.3475177304964539
1,11,0.4,8.0,6.0,,0.3475177304964539
1,12,0.4,8.0,6.0,537.6520130383121,0.3475177304964539
1,13,0.4,8.0,6.0,,0.3475177304964539
1,14,0.4,8.0,6.0,,0.3475177304964539
1,15,0.4,8.0,6.0,182.76612970547757,0.3475177304964539
1,16,0.4,8.0,6.0,707.5192618471033,0.3475177304964539
1,17,0.4,8.0,6.0,9632.386221312208,0.3475177304964539
1,18,0.4,8.0,6.0,,0.3475177304964539
1,19,0.4,8.0,6.0,1590.1080872655002,0.3475177304964539
1,20,0.4,8.0,6.0,9872.045935206696,0.3475177304964539
1,21,0.4,8.0,6.0,,0.3475177304964539
1,22,0.4,8.0,6.0,1834.0633445057406,0.3475177304964539
1,23,0.4,8.0,6.0,9825.403683824763,0.3475177304964539
1,24,0.4,8.0,6.0,,0.3475177304964539
1,25,0.4,8.0,6.0,2252.619580190726,0.3475177304964539
1,26,0.4,8.0,6.0,7197.12833130708,0.3475177304964539
1,27,0.4,8.0,6.0,,0.3475177304964539
1,28,0.4,8.0,6.0,3994.3375037737883,0.3475177304964539
1,29,0.4,8.0,6.0,7437.928331284972,0.3475177304964539
1,30,0.4,8.0,6.0,,0.3475177304964539
1,31,0.4,8.0,6.0,4243.682924802653,0.3475177304964539
1,32,0.4,8.0,6.0,7678.728324034783,0.3475177304964539
1,33,0.4,8.0,6.0,,0.3475177304964539
1,34,0.4,8.0,6.0,,0.3475177304964539
1,35,0.4,8.0,6.0,7919.526363412137,0.3475177304964539
1,36,0.4,8.0,6.0,,0.3475177304964539
1,37,0.4,8.0,6.0,,0.3475177304964539
1,38,0.4,8.0,6.0,8159.796187865997,0.3475177304964539
1,39,0.4,8.0,6.0,,0.3475177304964539
1,40,0.4,8.0,6.0,,0.3475177304964539
1,41,0.4,8.0,6.0,8259.285432068733,0.3475177304964539
1,42,0.4,8.0,6.0,,0.3475177304964539
1,43,0.4,8.0,6.0,,0.3475177304964539
1,44,0.4,8.0,6.0,3178.322362613929,0.3475177304964539
1,45,0.4,8.0,6.0,,0.3475177304964539
1,46,0.4,8.0,6.0,1900.3585173999954,0.3475177304964539
1,47,0.4,8.0,6.0,,0.3475177304964539
1,48,0.4,8.0,6.0,,0.3475177304964539
1,49,0.4,8.0,6.0,3702.420097223655,0.3475177304964539
1,50,0.4,8.0,6.0,,0.3475177304964539
1,51,0.4,8.0,6.0,,0.3475177304964539
1,52,0.4,8.0,6.0,4732.808444118156,0.3475177304964539
1,53,0.4,8.0,6.0,,0.3475177304964539
1,54,0.4,8.0,6.0,2928.663568572563,0.3475177304964539
1,55,0.4,8.0,6.0,5767.84356266893,0.3475177304964539
2,0,0.4,8.0,6.0,,0.6546762589928058
2,1,0.4,8.0,6.0,6168.324618263619,0.6546762589928058
2,2,0.4,8.0,6.0,,0.6546762589928058
2,3,0.4,8.0,6.0,2081.1407445180826,0.6546762589928058
2,4,0.4,8.0,6.0,,0.6546762589928058
2,5,0.4,8.0,6.0,,0.6546762589928058
2,6,0.4,8.0,6.0,1505.140788447902,0.6546762589928058
2,7,0.4,8.0,6.0,,0.6546762589928058
2,8,0.4,8.0,6.0,,0.6546762589928058
2,9,0.4,8.0,6.0,929.1613718552932,0.6546762589928058
2,10,0.4,8.0,6.0,,0.6546762589928058
2,11,0.4,8.0,6.0,,0.6546762589928058
2,12,0.4,8.0,6.0,361.28405749019294,0.6546762589928058
2,13,0.4,8.0,6.0,,0.6546762589928058
2,14,0.4,8.0,6.0,,0.6546762589928058
2,15,0.4,8.0,6.0,245.12339317708938,0.6546762589928058
2,16,0.4,8.0,6.0,,0.6546762589928058
2,17,0.4,8.0,6.0,,0.6546762589928058
2,18,0.4,8.0,6.0,1779.450644008898,0.6546762589928058
2,19,0.4,8.0,6.0,,0.6546762589928058
2,20,0.4,8.0,6.0,,0.6546762589928058
2,21,0.4,8.0,6.0,1289.7516617807305,0.6546762589928058
2,22,0.4,8.0,6.0,3671.854559068782,0.6546762589928058
2,23,0.4,8.0,6.0,,0.6546762589928058
2,24,0.4,8.0,6.0,3928.3757503131988,0.6546762589928058
2,25,0.4,8.0,6.0,3971.97470521506,0.6546762589928058
2,26,0.4,8.0,6.0,,0.6546762589928058
2,27,0.4,8.0,6.0,5269.843088286667,0.6546762589928058
2,28,0.4,8.0,6.0,6112.258066140121,0.6546762589928058
2,29,0.4,8.0,6.0,,0.6546762589928058
2,30,0.4,8.0,6.0,4693.989500652772,0.6546762589928058
2,31,0.4,8.0,6.0,6355.370917316405,0.6546762589928058
2,32,0.4,8.0,6.0,,0.6546762589928058
2,33,0.4,8.0,6.0,4163.640953498958,0.6546762589928058
2,34,0.4,8.0,6.0,2728.019028878969,0.6546762589928058
2,35,0.4,8.0,6.0,,0.6546762589928058
2,36,0.4,8.0,6.0,,0.6546762589928058
2,37,0.4,8.0,6.0,2986.0193515471683,0.6546762589928058
2,38,0.4,8.0,6.0,,0.6546762589928058
2,39,0.4,8.0,6.0,5023.060236564483,0.6546762589928058
2,40,0.4,8.0,6.0,3244.0215543882405,0.6546762589928058
2,41,0.4,8.0,6.0,,0.6546762589928058
2,42,0.4,8.0,6.0,4447.249306401021,0.6546762589928058
2,43,0.4,8.0,6.0,3502.9059050800934,0.6546762589928058
2,44,0.4,8.0,6.0,,0.6546762589928058
2,45,0.4,8.0,6.0,3918.5438832005775,0.6546762589928058
2,46,0.4,8.0,6.0,3891.777972745807,0.6546762589928058
2,47,0.4,8.0,6.0,,0.6546762589928058
2,48,0.4,8.0,6.0,,0.6546762589928058
2,49,0.4,8.0,6.0,7969.636552769709,0.6546762589928058
2,50,0.4,8.0,6.0,,0.6546762589928058
2,51,0.4,8.0,6.0,,0.6546762589928058
2,52,0.4,8.0,6.0,8221.340901334654,0.6546762589928058
2,53,0.4,8.0,6.0,,0.6546762589928058
2,54,0.4,8.0,6.0,,0.6546762589928058
2,55,0.4,8.0,6.0,6410.962637727545,0.6546762589928058
3,0,0.4,8.0,6.0,,0.34532374100719426
3,1,0.4,8.0,6.0,6167.675254860345,0.34532374100719426
3,2,0.4,8.0,6.0,,0.34532374100719426
3,3,0.4,8.0,6.0,2086.285006855007,0.34532374100719426
3,4,0.4,8.0,6.0,,0.34532374100719426
3,5,0.4,8.0,6.0,,0.34532374100719426
3,6,0.4,8.0,6.0,1510.285059804281,0.34532374100719426
3,7,0.4,8.0,6.0,,0.34532374100719426
3,8,0.4,8.0,6.0,,0.34532374100719426
3,9,0.4,8.0,6.0,934.3040779031356,0.34532374100719426
3,10,0.4,8.0,6.0,,0.34532374100719426
3,11,0.4,8.0,6.0,,0.34532374100719426
3,12,0.4,8.0,6.0,365.82849653187657,0.34532374100719426
3,13,0.4,8.0,6.0,,0.34532374100719426
3,14,0.4,8.0,6.0,,0.34532374100719426
3,15,0.4,8.0,6.0,220.96534750972143,0.34532374100719426
3,16,0.4,8.0,6.0,6539.921430667025,0.34532374100719426
3,17,0.4,8.0,6.0,,0.34532374100719426
3,18,0.4,8.0,6.0,1888.3070573232199,0.34532374100719426
3,19,0.4,8.0,6.0,,0.34532374100719426
3,20,0.4,8.0,6.0,,0.34532374100719426
3,21,0.4,8.0,6.0,1312.314213141505,0.34532374100719426
3,22,0.4,8.0,6.0,,0.34532374100719426
3,23,0.4,8.0,6.0,,0.34532374100719426
3,24,0.4,8.0,6.0,739.1591680077103,0.34532374100719426
3,25,0.4,8.0,6.0,,0.34532374100719426
3,26,0.4,8.0,6.0,,0.34532374100719426
3,27,0.4,8.0,6.0,350.0387583304222,0.34532374100719426
3,28,0.4,8.0,6.0,,0.34532374100719426
3,29,0.4,8.0,6.0,,0.34532374100719426
3,30,0.4,8.0,6.0,,0.34532374100719426
3,31,0.4,8.0,6.0,3115.844244234211,0.34532374100719426
3,32,0.4,8.0,6.0,,0.34532374100719426
3,33,0.4,8.0,6.0,5120.791169697761,0.34532374100719426
3,34,0.4,8.0,6.0,3373.8444734415743,0.34532374100719426
3,35,0.4,8.0,6.0,,0.34532374100719426
3,36,0.4,8.0,6.0,4544.74983904948,0.34532374100719426
3,37,0.4,8.0,6.0,3631.936647176899,0.34532374100719426
3,38,0.4,8.0,6.0,,0.34532374100719426
3,39,0.4,8.0,6.0,3973.6942124715188,0.34532374100719426
3,40,0.4,8.0,6.0,3921.2742582040946,0.34532374100719426
