fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.1,4.0,2.0,9241.177813925271,0.040229885057471264
1,1,0.1,4.0,2.0,4285.409783501727,0.040229885057471264
1,2,0.1,4.0,2.0,,0.040229885057471264
1,3,0.1,4.0,2.0,9837.5660637678,0.040229885057471264
1,4,0.1,4.0,2.0,4475.399002408434,0.040229885057471264
1,5,0.1,4.0,2.0,4235.068456022356,0.040229885057471264
1,6,0.1,4.0,2.0,,0.040229885057471264
1,7,0.1,4.0,2.0,10491.827166452227,0.040229885057471264
1,8,0.1,4.0,2.0,5083.135909779123,0.040229885057471264
1,9,0.1,4.0,2.0,9041.535394338935,0.040229885057471264
1,10,0.1,4.0,2.0,,0.040229885057471264
1,11,0.1,4.0,2.0,7093.436776965142,0.040229885057471264
1,12,0.1,4.0,2.0,8785.711516452204,0.040229885057471264
1,13,0.1,4.0,2.0,,0.040229885057471264
1,14,0.1,4.0,2.0,4710.797010839666,0.040229885057471264
1,15,0.1,4.0,2.0,2711.9729963520153,0.040229885057471264
1,16,0.1,4.0,2.0,,0.040229885057471264
1,17,0.1,4.0,2.0,8171.860478156534,0.040229885057471264
1,18,0.1,4.0,2.0,2757.1845044624897,0.040229885057471264
1,19,0.1,4.0,2.0,4903.4740793638675,0.040229885057471264
1,20,0.1,4.0,2.0,,0.040229885057471264
1,21,0.1,4.0,2.0,8364.575827678405,0.040229885057471264
1,22,0.1,4.0,2.0,5026.087601419447,0.040229885057471264
1,23,0.1,4.0,2.0,,0.040229885057471264
1,24,0.1,4.0,2.0,,0.040229885057471264
1,25,0.1,4.0,2.0,6993.9108614507,0.040229885057471264
1,26,0.1,4.0,2.0,10965.300440837054,0.040229885057471264
1,27,0.1,4.0,2.0,,0.040229885057471264
1,28,0.1,4.0,2.0,2511.4356228102183,0.040229885057471264
1,29,0.1,4.0,2.0,8940.274583769919,0.040229885057471264
1,30,0.1,4.0,2.0,,0.040229885057471264
1,31,0.1,4.0,2.0,6516.204303270807,0.040229885057471264
1,32,0.1,4.0,2.0,2537.7979075591893,0.040229885057471264
1,33,0.1,4.0,2.0,,0.040229885057471264
1,34,0.1,4.0,2.0,,0.040229885057471264
1,35,0.1,4.0,2.0,4844.161077893505,0.040229885057471264
1,36,0.1,4.0,2.0,9039.399490276282,0.040229885057471264
1,37,0.1,4.0,2.0,,0.040229885057471264
1,38,0.1,4.0,2.0,7233.890436398454,0.040229885057471264
1,39,0.1,4.0,2.0,9150.858205862809,0.040229885057471264
1,40,0.1,4.0,2.0,,0.040229885057471264
1,41,0.1,4.0,2.0,4568.040464765108,0.040229885057471264
1,42,0.1,4.0,2.0,2801.479157887221,0.040229885057471264
1,43,0.1,4.0,2.0,,0.040229885057471264
1,44,0.1,4.0,2.0,,0.040229885057471264
1,45,0.1,4.0,2.0,3174.237480711855,0.040229885057471264
1,46,0.1,4.0,2.0,7169.404928628088,0.040229885057471264
1,47,0.1,4.0,2.0,,0.040229885057471264
1,48,0.1,4.0,2.0,7261.302607296609,0.040229885057471264
1,49,0.1,4.0,2.0,7329.329179776585,0.040229885057471264
1,50,0.1,4.0,2.0,,0.040229885057471264
1,51,0.1,4.0,2.0,5013.363573282944,0.040229885057471264
1,52,0.1,4.0,2.0,7191.6842823732,0.040229885057471264
1,53,0.1,4.0,2.0,,0.040229885057471264
1,54,0.1,4.0,2.0,,0.040229885057471264
1,55,0.1,4.0,2.0,1140.7245117470518,0.040229885057471264
1,56,0.1,4.0,2.0,11869.316205771465,0.040229885057471264
1,57,0.1,4.0,2.0,,0.040229885057471264
1,58,0.1,4.0,2.0,5299.209246686434,0.040229885057471264
1,59,0.1,4.0,2.0,5434.390577283789,0.040229885057471264
1,60,0.1,4.0,2.0,,0.040229885057471264
1,61,0.1,4.0,2.0,9364.999441911052,0.040229885057471264
1,62,0.1,4.0,2.0,5373.812736103215,0.040229885057471264
1,63,0.1,4.0,2.0,,0.040229885057471264
1,64,0.1,4.0,2.0,,0.040229885057471264
1,65,0.1,4.0,2.0,5768.407950941582,0.040229885057471264
1,66,0.1,4.0,2.0,11852.879441876972,0.040229885057471264
1,67,0.1,4.0,2.0,,0.040229885057471264
1,68,0.1,4.0,2.0,3698.1188682000893,0.040229885057471264
1,69,0.1,4.0,2.0,5823.809804074248,0.040229885057471264
1,70,0.1,4.0,2.0,,0.040229885057471264
1,71,0.1,4.0,2.0,7404.635226755734,0.040229885057471264
1,72,0.1,4.0,2.0,3328.547545344958,0.040229885057471264
2,0,0.1,4.0,2.0,8685.924263265713,0.7034883720930233
2,1,0.1,4.0,2.0,4329.900718792168,0.7034883720930233
2,2,0.1,4.0,2.0,,0.7034883720930233
2,3,0.1,4.0,2.0,9532.718424360453,0.7034883720930233
2,4,0.1,4.0,2.0,4377.012516676592,0.7034883720930233
2,5,0.1,4.0,2.0,3810.513568708634,0.7034883720930233
2,6,0.1,4.0,2.0,6448.245531152457,0.7034883720930233
2,7,0.1,4.0,2.0,,0.7034883720930233
2,8,0.1,4.0,2.0,7393.560091849403,0.7034883720930233
2,9,0.1,4.0,2.0,4046.8653935136444,0.7034883720930233
2,10,0.1,4.0,2.0,,0.7034883720930233
2,11,0.1,4.0,2.0,,0.7034883720930233
2,12,0.1,4.0,2.0,5771.587789523525,0.7034883720930233
2,13,0.1,4.0,2.0,10091.163782411644,0.7034883720930233
2,14,0.1,4.0,2.0,,0.7034883720930233
2,15,0.1,4.0,2.0,3710.9933806712024,0.7034883720930233
2,16,0.1,4.0,2.0,10195.711909379479,0.7034883720930233
2,17,0.1,4.0,2.0,,0.7034883720930233
2,18,0.1,4.0,2.0,5305.510614352725,0.7034883720930233
2,19,0.1,4.0,2.0,1936.731865837123,0.7034883720930233
2,20,0.1,4.0,2.0,,0.7034883720930233
2,21,0.1,4.0,2.0,,0.7034883720930233
2,22,0.1,4.0,2.0,4062.206449716413,0.7034883720930233
2,23,0.1,4.0,2.0,8159.8748405588685,0.7034883720930233
2,24,0.1,4.0,2.0,,0.7034883720930233
2,25,0.1,4.0,2.0,8087.759946185439,0.7034883720930233
2,26,0.1,4.0,2.0,8280.341402302063,0.7034883720930233
2,27,0.1,4.0,2.0,,0.7034883720930233
2,28,0.1,4.0,2.0,3452.5112579723987,0.7034883720930233
