fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.1,3.0,2.0,325.58632237540854,0.6136363636363636
1,1,0.1,3.0,2.0,787.6025575464389,0.6136363636363636
1,2,0.1,3.0,2.0,658.9058345721788,0.6136363636363636
1,3,0.1,3.0,2.0,163.66596740409165,0.6136363636363636
1,4,0.1,3.0,2.0,584.0364029980838,0.6136363636363636
1,5,0.1,3.0,2.0,247.76648552652088,0.6136363636363636
1,6,0.1,3.0,2.0,808.0019921132116,0.6136363636363636
1,7,0.1,3.0,2.0,127.75053416456134,0.6136363636363636
1,8,0.1,3.0,2.0,333.2604329065595,0.6136363636363636
1,9,0.1,3.0,2.0,851.5314131220301,0.6136363636363636
1,10,0.1,3.0,2.0,150.5704713382688,0.6136363636363636
1,11,0.1,3.0,2.0,540.5552575650709,0.6136363636363636
1,12,0.1,3.0,2.0,802.9023669594578,0.6136363636363636
1,13,0.1,3.0,2.0,127.02933136857877,0.6136363636363636
1,14,0.1,3.0,2.0,302.7226580280429,0.6136363636363636
1,15,0.1,3.0,2.0,765.8257449143894,0.6136363636363636
1,16,0.1,3.0,2.0,150.8297247582247,0.6136363636363636
1,17,0.1,3.0,2.0,528.4500281098908,0.6136363636363636
1,18,0.1,3.0,2.0,580.2472589526462,0.6136363636363636
1,19,0.1,3.0,2.0,493.7951820440614,0.6136363636363636
1,20,0.1,3.0,2.0,209.32065411236675,0.6136363636363636
1,21,0.1,3.0,2.0,704.4507499833576,0.6136363636363636
1,22,0.1,3.0,2.0,456.3654895436108,0.6136363636363636
1,23,0.1,3.0,2.0,266.7480970842179,0.6136363636363636
1,24,0.1,3.0,2.0,512.5241154726608,0.6136363636363636
1,25,0.1,3.0,2.0,380.57979703455555,0.6136363636363636
1,26,0.1,3.0,2.0,389.3586642202942,0.6136363636363636
1,27,0.1,3.0,2.0,776.4322501443787,0.6136363636363636
1,28,0.1,3.0,2.0,119.90183303774957,0.6136363636363636
1,29,0.1,3.0,2.0,181.59604527366594,0.6136363636363636
1,30,0.1,3.0,2.0,462.7915083070541,0.6136363636363636
1,31,0.1,3.0,2.0,155.5340992207628,0.6136363636363636
1,32,0.1,3.0,2.0,495.8274548503711,0.6136363636363636
1,33,0.1,3.0,2.0,507.3304473899507,0.6136363636363636
1,34,0.1,3.0,2.0,344.8281981619075,0.6136363636363636
1,35,0.1,3.0,2.0,445.4316811594981,0.6136363636363636
1,36,0.1,3.0,2.0,822.5041551877383,0.6136363636363636
1,37,0.1,3.0,2.0,137.8953907276916,0.6136363636363636
1,38,0.1,3.0,2.0,387.25875597070404,0.6136363636363636
1,39,0.1,3.0,2.0,759.3577256028333,0.6136363636363636
1,40,0.1,3.0,2.0,121.15957047529386,0.6136363636363636
1,41,0.1,3.0,2.0,212.3967192136483,0.6136363636363636
1,42,0.1,3.0,2.0,723.3210288217198,0.6136363636363636
1,43,0.1,3.0,2.0,418.96792573675066,0.6136363636363636
1,44,0.1,3.0,2.0,120.89951434462623,0.6136363636363636
1,45,0.1,3.0,2.0,190.0646817715584,0.6136363636363636
1,46,0.1,3.0,2.0,439.57949057557124,0.6136363636363636
1,47,0.1,3.0,2.0,717.0271299165245,0.6136363636363636
1,48,0.1,3.0,2.0,125.81970357769376,0.6136363636363636
1,49,0.1,3.0,2.0,279.7457670490739,0.6136363636363636
1,50,0.1,3.0,2.0,658.7873681939682,0.6136363636363636
1,51,0.1,3.0,2.0,737.0583979934003,0.6136363636363636
1,52,0.1,3.0,2.0,121.2699777327489,0.6136363636363636
1,53,0.1,3.0,2.0,195.31373706128298,0.6136363636363636
1,54,0.1,3.0,2.0,418.33577846802586,0.6136363636363636
1,55,0.1,3.0,2.0,656.2510055475242,0.6136363636363636
1,56,0.1,3.0,2.0,184.857698349921,0.6136363636363636
1,57,0.1,3.0,2.0,512.1671337062705,0.6136363636363636
1,58,0.1,3.0,2.0,409.50199913065103,0.6136363636363636
1,59,0.1,3.0,2.0,528.776841427062,0.6136363636363636
1,60,0.1,3.0,2.0,494.4934526592373,0.6136363636363636
1,61,0.1,3.0,2.0,216.56014260516525,0.6136363636363636
1,62,0.1,3.0,2.0,627.3264032225429,0.6136363636363636
1,63,0.1,3.0,2.0,755.2532541485261,0.6136363636363636
1,64,0.1,3.0,2.0,120.31585670635157,0.6136363636363636
1,65,0.1,3.0,2.0,191.39901921130448,0.6136363636363636
1,66,0.1,3.0,2.0,661.2783862377858,0.6136363636363636
1,67,0.1,3.0,2.0,453.50845197410115,0.6136363636363636
1,68,0.1,3.0,2.0,401.2326571536536,0.6136363636363636
1,69,0.1,3.0,2.0,204.90809474267223,0.6136363636363636
1,70,0.1,3.0,2.0,586.7522035944658,0.6136363636363636
1,71,0.1,3.0,2.0,550.2104568542379,0.6136363636363636
1,72,0.1,3.0,2.0,493.32504976304614,0.6136363636363636
1,73,0.1,3.0,2.0,198.54817498515928,0.6136363636363636
1,74,0.1,3.0,2.0,637.8281429904206,0.6136363636363636
1,75,0.1,3.0,2.0,748.9553649854453,0.6136363636363636
1,76,0.1,3.0,2.0,122.39687432725006,0.6136363636363636
1,77,0.1,3.0,2.0,225.8089929154185,0.6136363636363636
1,78,0.1,3.0,2.0,652.6545687799514,0.6136363636363636
1,79,0.1,3.0,2.0,458.47176098931374,0.6136363636363636
1,80,0.1,3.0,2.0,397.98490953180476,0.6136363636363636
1,81,0.1,3.0,2.0,176.96578772495138,0.6136363636363636
2,0,0.1,3.0,2.0,319.04425849089296,0.38372093023255816
2,1,0.1,3.0,2.0,769.9269802809415,0.38372093023255816
2,2,0.1,3.0,2.0,648.0095901855877,0.38372093023255816
2,3,0.1,3.0,2.0,152.98266303897555,0.38372093023255816
2,4,0.1,3.0,2.0,532.7191947096794,0.38372093023255816
2,5,0.1,3.0,2.0,289.90446770600647,0.38372093023255816
2,6,0.1,3.0,2.0,830.8174334500418,0.38372093023255816
2,7,0.1,3.0,2.0,148.9051813968901,0.38372093023255816
2,8,0.1,3.0,2.0,547.1634381222293,0.38372093023255816
2,9,0.1,3.0,2.0,777.878235320246,0.38372093023255816
2,10,0.1,3.0,2.0,121.94328276279745,0.38372093023255816
2,11,0.1,3.0,2.0,287.5507989845756,0.38372093023255816
2,12,0.1,3.0,2.0,815.5207807418312,0.38372093023255816
2,13,0.1,3.0,2.0,141.65314701493202,0.38372093023255816
2,14,0.1,3.0,2.0,464.21589797696555,0.38372093023255816
2,15,0.1,3.0,2.0,799.5893172065346,0.38372093023255816
2,16,0.1,3.0,2.0,137.22118215258922,0.38372093023255816
2,17,0.1,3.0,2.0,373.1054552543236,0.38372093023255816
2,18,0.1,3.0,2.0,648.2950372872524,0.38372093023255816
2,19,0.1,3.0,2.0,195.74293024880598,0.38372093023255816
2,20,0.1,3.0,2.0,487.9172553548504,0.38372093023255816
2,21,0.1,3.0,2.0,339.2793988273815,0.38372093023255816
2,22,0.1,3.0,2.0,401.69068146564234,0.38372093023255816
2,23,0.1,3.0,2.0,811.4882217831272,0.38372093023255816
2,24,0.1,3.0,2.0,137.94868089902707,0.38372093023255816
2,25,0.1,3.0,2.0,461.13720023290637,0.38372093023255816
2,26,0.1,3.0,2.0,811.8203072768896,0.38372093023255816
2,27,0.1,3.0,2.0,139.9917874440311,0.38372093023255816
2,28,0.1,3.0,2.0,444.6353336669757,0.38372093023255816
2,29,0.1,3.0,2.0,796.7348636747213,0.38372093023255816
2,30,0.1,3.0,2.0,134.5951210296658,0.38372093023255816
2,31,0.1,3.0,2.0,366.7419150963392,0.38372093023255816
2,32,0.1,3.0,2.0,680.9480864552238,0.38372093023255816
2,33,0.1,3.0,2.0,162.90728646417193,0.38372093023255816
2,34,0.1,3.0,2.0,475.2026908212611,0.38372093023255816
2,35,0.1,3.0,2.0,435.8131921029941,0.38372093023255816
2,36,0.1,3.0,2.0,119.47850985202054,0.38372093023255816
2,37,0.1,3.0,2.0,236.14926289354207,0.38372093023255816
2,38,0.1,3.0,2.0,720.1370879574803,0.38372093023255816
2,39,0.1,3.0,2.0,176.4060587512656,0.38372093023255816
2,40,0.1,3.0,2.0,640.3141136484198,0.38372093023255816
2,41,0.1,3.0,2.0,441.66122626119596,0.38372093023255816
2,42,0.1,3.0,2.0,159.42194482951993,0.38372093023255816
2,43,0.1,3.0,2.0,442.34841191688827,0.38372093023255816
2,44,0.1,3.0,2.0,721.7655181337952,0.38372093023255816
2,45,0.1,3.0,2.0,116.87174480234233,0.38372093023255816
2,46,0.1,3.0,2.0,166.26027044354848,0.38372093023255816
2,47,0.1,3.0,2.0,397.30477715797576,0.38372093023255816
2,48,0.1,3.0,2.0,412.3671920135131,0.38372093023255816
2,49,0.1,3.0,2.0,193.5443304315211,0.38372093023255816
2,50,0.1,3.0,2.0,448.0424763484655,0.38372093023255816
2,51,0.1,3.0,2.0,695.8974678957889,0.38372093023255816
2,52,0.1,3.0,2.0,410.6965326027462,0.38372093023255816
2,53,0.1,3.0,2.0,145.58474761432745,0.38372093023255816
2,54,0.1,3.0,2.0,428.6788897972712,0.38372093023255816
2,55,0.1,3.0,2.0,705.4798834059845,0.38372093023255816
2,56,0.1,3.0,2.0,408.67056277791073,0.38372093023255816
2,57,0.1,3.0,2.0,119.70940042167823,0.38372093023255816
2,58,0.1,3.0,2.0,236.81446589844126,0.38372093023255816
2,59,0.1,3.0,2.0,729.2193971222421,0.38372093023255816
2,60,0.1,3.0,2.0,413.70163734264435,0.38372093023255816
2,61,0.1,3.0,2.0,215.36288331223284,0.38372093023255816
2,62,0.1,3.0,2.0,533.9333818154407,0.38372093023255816
2,63,0.1,3.0,2.0,417.18549194205616,0.38372093023255816
2,64,0.1,3.0,2.0,639.8376377759131,0.38372093023255816
2,65,0.1,3.0,2.0,441.10172651625106,0.38372093023255816
2,66,0.1,3.0,2.0,176.84901612139237,0.38372093023255816
2,67,0.1,3.0,2.0,435.2156854198406,0.38372093023255816
2,68,0.1,3.0,2.0,699.2625205868809,0.38372093023255816
2,69,0.1,3.0,2.0,121.6641116949916,0.38372093023255816
2,70,0.1,3.0,2.0,256.20686073370035,0.38372093023255816
2,71,0.1,3.0,2.0,660.5679992816993,0.38372093023255816
2,72,0.1,3.0,2.0,713.8530966486157,0.38372093023255816
2,73,0.1,3.0,2.0,117.77644588779594,0.38372093023255816
2,74,0.1,3.0,2.0,185.31757617497834,0.38372093023255816
2,75,0.1,3.0,2.0,563.5295137155165,0.38372093023255816
2,76,0.1,3.0,2.0,763.7710418520414,0.38372093023255816
2,77,0.1,3.0,2.0,132.02125555002863,0.38372093023255816
2,78,0.1,3.0,2.0,375.09868910426053,0.38372093023255816
2,79,0.1,3.0,2.0,735.3183160637873,0.38372093023255816
2,80,0.1,3.0,2.0,415.0037760430623,0.38372093023255816
2,81,0.1,3.0,2.0,244.30683754582125,0.38372093023255816
3,0,0.1,3.0,2.0,323.0275528475706,0.6162790697674418
3,1,0.1,3.0,2.0,766.0011856645483,0.6162790697674418
3,2,0.1,3.0,2.0,650.4078018502025,0.6162790697674418
3,3,0.1,3.0,2.0,150.99188419464951,0.6162790697674418
3,4,0.1,3.0,2.0,521.2160000789131,0.6162790697674418
3,5,0.1,3.0,2.0,306.36757478345766,0.6162790697674418
3,6,0.1,3.0,2.0,837.9113013807504,0.6162790697674418
3,7,0.1,3.0,2.0,153.66269710893476,0.6162790697674418
3,8,0.1,3.0,2.0,570.5118054837027,0.6162790697674418
3,9,0.1,3.0,2.0,765.3689966857493,0.6162790697674418
3,10,0.1,3.0,2.0,118.17135882620862,0.6162790697674418
3,11,0.1,3.0,2.0,214.19425453833765,0.6162790697674418
3,12,0.1,3.0,2.0,724.7607555018565,0.6162790697674418
3,13,0.1,3.0,2.0,139.47628734252197,0.6162790697674418
3,14,0.1,3.0,2.0,455.1347201644993,0.6162790697674418
3,15,0.1,3.0,2.0,580.0133670971773,0.6162790697674418
3,16,0.1,3.0,2.0,498.6074335908304,0.6162790697674418
3,17,0.1,3.0,2.0,366.35367195940444,0.6162790697674418
3,18,0.1,3.0,2.0,673.3042979752718,0.6162790697674418
3,19,0.1,3.0,2.0,437.6077090452602,0.6162790697674418
3,20,0.1,3.0,2.0,156.42191896915222,0.6162790697674418
3,21,0.1,3.0,2.0,437.39693873423226,0.6162790697674418
3,22,0.1,3.0,2.0,372.2665091595271,0.6162790697674418
3,23,0.1,3.0,2.0,206.72289474857754,0.6162790697674418
3,24,0.1,3.0,2.0,655.8566567284652,0.6162790697674418
3,25,0.1,3.0,2.0,434.39329825865633,0.6162790697674418
3,26,0.1,3.0,2.0,354.7219891247971,0.6162790697674418
3,27,0.1,3.0,2.0,220.31607168080006,0.6162790697674418
3,28,0.1,3.0,2.0,711.4516595619178,0.6162790697674418
3,29,0.1,3.0,2.0,408.66431726523103,0.6162790697674418
3,30,0.1,3.0,2.0,120.31545823245216,0.6162790697674418
3,31,0.1,3.0,2.0,236.61967688110065,0.6162790697674418
3,32,0.1,3.0,2.0,676.9246633292696,0.6162790697674418
3,33,0.1,3.0,2.0,704.2087722991176,0.6162790697674418
3,34,0.1,3.0,2.0,119.83189990002455,0.6162790697674418
3,35,0.1,3.0,2.0,228.59853746020968,0.6162790697674418
3,36,0.1,3.0,2.0,679.2190951801797,0.6162790697674418
3,37,0.1,3.0,2.0,702.8427055317809,0.6162790697674418
3,38,0.1,3.0,2.0,120.28108053112506,0.6162790697674418
3,39,0.1,3.0,2.0,236.05839454581675,0.6162790697674418
3,40,0.1,3.0,2.0,677.1319168686866,0.6162790697674418
3,41,0.1,3.0,2.0,704.0854348448098,0.6162790697674418
3,42,0.1,3.0,2.0,119.87167110309784,0.6162790697674418
3,43,0.1,3.0,2.0,229.26879885792152,0.6162790697674418
3,44,0.1,3.0,2.0,679.0851493450918,0.6162790697674418
3,45,0.1,3.0,2.0,702.9224926638137,0.6162790697674418
3,46,0.1,3.0,2.0,120.25432711444874,0.6162790697674418
3,47,0.1,3.0,2.0,235.62062576485286,0.6162790697674418
3,48,0.1,3.0,2.0,677.2887009520525,0.6162790697674418
