fold,run,eta,h1,h2,mse_te
1,0,0.001,10.0,10.0,37477.040747866704
1,1,0.001,10.0,10.0,30684.186423628813
1,2,0.001,10.0,10.0,43213.903417337046
1,3,0.001,10.0,10.0,40843.60648062929
1,4,0.001,10.0,10.0,38960.254287729185
1,5,0.001,10.0,10.0,37220.33165148372
1,6,0.001,10.0,10.0,35002.14067389693
1,7,0.001,10.0,10.0,33615.96710680917
1,8,0.001,10.0,10.0,32180.152037669755
1,9,0.001,10.0,10.0,31387.974926329935
1,10,0.001,10.0,10.0,31885.952093731546
1,11,0.001,10.0,10.0,31345.440051613532
1,12,0.001,10.0,10.0,31862.416268768604
1,13,0.001,10.0,10.0,31572.367709395676
1,14,0.001,10.0,10.0,31461.200611867487
1,15,0.001,10.0,10.0,31521.626439795997
1,16,0.001,10.0,10.0,31478.176846155253
2,0,0.001,10.0,10.0,10880.054870039243
2,1,0.001,10.0,10.0,12324.496700895095
2,2,0.001,10.0,10.0,14197.355217112878
2,3,0.001,10.0,10.0,12714.174634915164
2,4,0.001,10.0,10.0,11672.819660777499
2,5,0.001,10.0,10.0,10953.314791683933
2,6,0.001,10.0,10.0,10466.957161796527
2,7,0.001,10.0,10.0,10148.326242736919
2,8,0.001,10.0,10.0,9949.314316558375
2,9,0.001,10.0,10.0,9834.669377553466
2,10,0.001,10.0,10.0,9778.66964044317
2,11,0.001,10.0,10.0,9762.644413204614
2,12,0.001,10.0,10.0,9773.12772646749
2,13,0.001,10.0,10.0,9800.484791823981
2,14,0.001,10.0,10.0,9837.891582690818
2,15,0.001,10.0,10.0,9880.577963200625
2,16,0.001,10.0,10.0,9925.267359558744
3,0,0.001,10.0,10.0,10152.560984469546
3,1,0.001,10.0,10.0,9989.061176029734
3,2,0.001,10.0,10.0,13940.798055549982
3,3,0.001,10.0,10.0,12292.869092384142
3,4,0.001,10.0,10.0,11098.5282015113
3,5,0.001,10.0,10.0,10238.609766045869
3,6,0.001,10.0,10.0,9624.300162641603
3,7,0.001,10.0,10.0,9189.007134737541
3,8,0.001,10.0,10.0,8880.318571428203
3,9,0.001,10.0,10.0,8631.765007306345
3,10,0.001,10.0,10.0,8392.685003986166
3,11,0.001,10.0,10.0,8376.38920833865
3,12,0.001,10.0,10.0,8397.970110783177
3,13,0.001,10.0,10.0,8431.53575568347
3,14,0.001,10.0,10.0,8465.626010289545
3,15,0.001,10.0,10.0,8495.68086469274
3,16,0.001,10.0,10.0,8520.413898464762
4,0,0.001,10.0,10.0,78878.50583778092
4,1,0.001,10.0,10.0,69448.89104613061
4,2,0.001,10.0,10.0,85243.6143590682
4,3,0.001,10.0,10.0,82692.92177901234
4,4,0.001,10.0,10.0,80651.37041541687
4,5,0.001,10.0,10.0,79007.07094823259
4,6,0.001,10.0,10.0,77671.08349153983
4,7,0.001,10.0,10.0,76561.56262467623
4,8,0.001,10.0,10.0,75487.08088768204
4,9,0.001,10.0,10.0,73775.3801305009
4,10,0.001,10.0,10.0,73004.82202568358
4,11,0.001,10.0,10.0,72474.9977775452
4,12,0.001,10.0,10.0,72085.30334823347
4,13,0.001,10.0,10.0,71766.5962937914
4,14,0.001,10.0,10.0,71474.86220488876
4,15,0.001,10.0,10.0,71286.9784041902
4,16,0.001,10.0,10.0,71279.73893014174
5,0,0.001,10.0,10.0,9358.12954141451
5,1,0.001,10.0,10.0,12992.221984618325
5,2,0.001,10.0,10.0,11777.341264132976
5,3,0.001,10.0,10.0,10090.75666295714
5,4,0.001,10.0,10.0,8865.991352525214
5,5,0.001,10.0,10.0,9993.532705732225
5,6,0.001,10.0,10.0,10685.561401975398
5,7,0.001,10.0,10.0,10169.536056564308
5,8,0.001,10.0,10.0,10623.564762375669
5,9,0.001,10.0,10.0,10267.608958166089
5,10,0.001,10.0,10.0,10575.088826507897
5,11,0.001,10.0,10.0,10347.576709235813
5,12,0.001,10.0,10.0,10538.794264764161
5,13,0.001,10.0,10.0,10395.25095734528
5,14,0.001,10.0,10.0,10513.182685357078
5,15,0.001,10.0,10.0,10423.197950927037
5,16,0.001,10.0,10.0,10495.988144882882
