x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,episode
1,2,0,0,1,-1,.,-1,False,-90.1,1,0
1,2,0,0,-1,1,.,-1,False,-98.209,1,1
1,2,0,0,1,1,.,-1,False,-99.1,1,1
2,3,1,1,-1,0,.,-1,False,-99.1,1,1
2,4,0,1,0,1,.,-1,False,-99.1,1,1
2,4,0,2,1,1,.,-1,False,-99.1,1,1
2,4,1,3,1,-1,.,-1,False,-99.1,1,1
2,4,2,2,1,1,.,-1,False,-99.1,1,1
2,4,3,3,0,1,.,-1,False,-99.1,1,1
2,4,3,4,-1,0,.,-1,False,-99.1,1,1
2,4,2,4,0,1,.,-1,False,-99.1,1,1
2,4,2,5,0,-1,.,-1,False,-99.019,1,1
2,4,2,4,-1,1,.,-1,False,-99.1,1,1
2,4,1,5,-1,0,.,-1,False,-99.1,1,1
2,4,1,5,-1,0,.,-1,False,-98.28999999999999,2,1
2,4,0,5,-1,0,.,-1,False,-99.1,1,1
2,4,-1,5,0,0,.,-1,False,-99.1,1,1
2,4,-1,5,1,-1,.,-1,False,-99.1,1,1
2,4,0,4,0,0,.,-1,False,-99.1,1,1
2,4,0,4,1,0,.,-1,False,-99.1,1,1
2,4,1,4,-1,0,.,-1,False,-99.019,1,1
2,4,0,4,0,-1,.,-1,False,-99.1,1,1
2,4,0,3,0,0,.,-1,False,-99.1,1,1
2,4,0,3,1,-1,.,-1,False,-99.019,1,1
2,4,0,3,0,1,.,-1,False,-99.019,1,1
2,4,0,4,0,-1,.,-1,False,-98.20170999999999,2,1
2,4,0,3,1,1,.,-1,False,-99.01171,1,1
2,4,1,4,0,-1,.,-1,False,-99.01171,1,1
2,4,1,4,1,0,.,-1,False,-99.019,1,1
2,4,2,4,0,0,.,-1,False,-99.019,1,1
2,4,2,4,-1,0,.,-1,False,-99.01171,1,1
2,4,2,4,-1,0,.,-1,False,-98.1215929,2,1
2,4,2,4,-1,-1,.,-1,False,-99.019,1,1
2,4,1,3,0,1,.,-1,False,-99.01105390000001,1,1
2,4,1,4,1,0,.,-1,False,-98.048043361,2,1
2,4,2,4,-1,1,.,-1,False,-98.1361,2,1
2,4,1,5,-1,-1,.,-1,False,-98.9381539,1,1
2,4,0,4,0,0,.,-1,False,-98.1281539,2,1
2,4,0,4,-1,-1,.,-1,False,-99.1,1,1
2,4,-1,3,-1,-1,.,-1,False,-99.1,1,1
2,4,-2,2,-1,1,.,-1,False,-99.1,1,1
2,4,-3,3,1,1,.,-1,False,-99.1,1,1
2,4,-2,4,1,0,.,-1,False,-99.1,1,1
2,4,-1,4,1,-1,.,-1,False,-99.01105390000001,1,1
2,4,0,3,-1,1,.,-1,False,-99.010994851,1,1
2,4,-1,4,0,1,.,-1,False,-99.019,1,1
2,4,-1,5,1,1,.,-1,False,-99.019,1,1
2,4,-1,5,1,-1,.,-1,False,-98.121533851,2,1
2,4,0,4,1,1,.,-1,False,-98.9461,1,1
2,4,1,5,1,-1,.,-1,False,-98.930943361,1,1
2,4,2,4,1,-1,.,-1,False,-99.019,1,1
2,4,3,3,0,1,.,-1,False,-98.20899999999999,2,1
2,4,3,4,1,1,.,-1,False,-99.1,1,1
2,4,4,5,1,0,.,-1,False,-99.1,1,1
2,4,5,5,-1,0,.,-1,False,-99.019,1,1
2,4,4,5,-1,1,.,-1,False,-99.1,1,1
2,4,3,5,1,0,.,-1,False,-99.1,1,1
2,4,3,5,1,1,.,-1,False,-99.019,1,1
2,4,3,5,0,0,.,-1,False,-99.01171,1,1
2,4,3,5,-1,1,.,-1,False,-99.01171,1,1
2,4,2,5,-1,0,.,-1,False,-98.9461,1,1
2,4,1,5,1,0,.,-1,False,-99.005149,1,1
2,4,2,5,-1,1,.,-1,False,-98.9461,1,1
2,4,1,5,-1,-1,.,-1,False,-97.975872361,2,1
2,4,0,4,-1,1,.,-1,False,-98.93093804659,1,1
2,4,-1,5,1,1,.,-1,False,-98.1361,2,1
2,4,0,5,-1,1,.,-1,False,-98.93093804659,1,1
2,4,-1,5,0,-1,.,-1,False,-99.010994851,1,1
2,4,-1,4,1,0,.,-1,False,-99.010994851,1,1
2,4,-1,4,0,0,.,-1,False,-99.01098953659,1,1
2,4,-1,4,1,1,.,-1,False,-99.0037844241931,1,1
2,4,0,5,0,1,.,-1,False,-99.0037844241931,1,1
2,4,0,5,1,0,.,-1,False,-98.91782851249,1,1
2,4,1,5,0,-1,.,-1,False,-98.92432390249,1,1
2,4,1,4,1,-1,.,-1,False,-99.1,1,1
