x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,episode
1,2,0,0,0,1,.,-1,False,-99.1,1,0
1,3,0,1,1,0,.,-1,False,-99.1,1,0
2,4,1,1,-1,-1,.,-1,False,-99.1,1,0
2,4,0,0,1,1,.,-1,False,-99.1,1,0
2,4,0,0,1,-1,.,-1,False,-99.1,1,0
2,4,1,-1,0,1,.,-1,False,-99.1,1,0
3,4,1,0,-1,0,.,-1,False,-99.1,1,0
3,4,0,0,1,-1,.,-1,False,-99.1,1,0
3,4,1,-1,-1,1,.,-1,False,-99.019,1,0
3,4,0,0,0,0,.,-1,False,-99.019,1,0
3,4,0,0,-1,1,.,-1,False,-99.1,1,0
2,5,-1,1,-1,1,.,-1,False,-99.1,1,0
2,5,-1,1,-1,0,.,-1,False,-99.1,1,0
2,5,-2,1,0,-1,.,-1,False,-99.1,1,0
2,5,-2,0,-1,1,.,-1,False,-99.1,1,0
2,5,-2,0,0,1,.,-1,False,-99.019,1,0
2,5,-2,1,1,-1,.,-1,False,-99.019,1,0
2,5,-2,1,-1,-1,.,-1,False,-99.1,1,0
2,5,-3,0,0,0,.,-1,False,-99.1,1,0
2,5,-3,0,-1,-1,.,-1,False,-99.1,1,0
2,5,-4,-1,-1,-1,.,-1,False,-99.1,1,0
2,5,-5,-2,-1,1,.,-1,False,-99.1,1,0
2,5,-5,-1,1,1,.,-1,False,-99.1,1,0
2,5,-5,-1,-1,1,.,-1,False,-99.1,1,0
2,5,-5,0,1,-1,.,-1,False,-99.019,1,0
2,5,-4,-1,0,-1,.,-1,False,-99.1,1,0
2,5,-4,-2,1,1,.,-1,False,-99.1,1,0
2,5,-3,-1,0,1,.,-1,False,-99.019,1,0
2,5,-3,0,-1,0,.,-1,False,-99.1,1,0
2,5,-4,0,-1,0,.,-1,False,-99.01171,1,0
2,5,-5,0,0,-1,.,-1,False,-99.019,1,0
2,5,-5,-1,0,0,.,-1,False,-99.019,1,0
2,5,-5,-1,-1,-1,.,-1,False,-99.019,1,0
