x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t
1,2,0,0,-1,1,.,-1,False,0,0
1,2,0,0,-1,1,.,-1,False,-0.1,1
1,2,0,0,0,1,.,-1,False,-0.1,1
1,3,0,1,1,-1,.,-1,False,-0.1,1
1,4,0,1,1,1,.,-1,False,-0.1,1
1,4,1,2,1,-1,.,-1,False,-0.1,1
3,5,2,1,0,-1,.,-1,False,-0.1,1
5,5,2,0,0,0,S,-1,False,-0.1,1
5,5,2,0,1,0,S,-1,False,-0.1,1
5,5,2,0,-1,-1,S,-1,False,-0.1,1
5,5,1,-1,-1,0,S,-1,False,-0.1,1
5,4,0,-1,-1,0,S,-1,False,-0.1,1
5,4,0,-1,-1,0,S,-1,False,-0.19,2
5,4,0,-1,0,1,S,-1,False,-0.1,1
5,4,0,0,1,-1,S,-1,False,-0.1,1
5,4,1,-1,0,1,S,-1,False,-0.1,1
5,4,1,0,1,-1,S,-1,False,-0.1,1
5,4,2,-1,0,-1,S,-1,False,-0.1,1
5,4,2,-2,1,-1,S,-1,False,-0.1,1
5,4,2,-2,1,0,S,-1,False,-0.1,1
5,4,2,-2,0,0,S,-1,False,-0.1,1
5,4,2,-2,1,1,S,-1,False,-0.1,1
5,4,3,-1,-1,1,S,-1,False,-0.1,1
5,4,2,0,1,-1,S,-1,False,-0.1,1
5,4,2,0,1,0,S,-1,False,-0.1,1
5,4,3,0,1,-1,S,-1,False,-0.1,1
5,4,4,-1,-1,0,S,-1,False,-0.1,1
5,4,4,-1,1,-1,S,-1,False,-0.1,1
5,4,5,-2,-1,1,S,-1,False,-0.10900000000000001,1
5,4,4,-1,-1,0,S,-1,False,-0.19,2
5,4,3,-1,0,0,S,-1,False,-0.1,1
5,4,3,-1,0,0,S,-1,False,-0.199,2
5,4,3,-1,0,0,S,-1,False,-0.2791,3
5,4,3,-1,-1,-1,S,-1,False,-0.10900000000000001,1
5,4,2,-2,1,0,S,-1,False,-0.19,2
5,4,2,-2,0,-1,S,-1,False,-0.1,1
5,4,2,-3,1,0,S,-1,False,-0.1,1
5,4,3,-3,1,-1,S,-1,False,-0.1,1
5,4,4,-4,-1,1,S,-1,False,-0.1,1
5,4,3,-3,0,0,S,-1,False,-0.1,1
5,4,3,-3,0,1,S,-1,False,-0.1,1
5,4,3,-2,1,1,S,-1,False,-0.1,1
5,4,4,-1,0,-1,S,-1,False,-0.1,1
5,4,4,-2,1,0,S,-1,False,-0.1,1
5,4,4,-2,0,0,S,-1,False,-0.1,1
5,4,4,-2,-1,-1,S,-1,False,-0.10900000000000001,1
5,4,3,-3,0,1,S,-1,False,-0.19,2
5,4,3,-2,-1,-1,S,-1,False,-0.1,1
5,4,2,-3,0,0,S,-1,False,-0.1,1
5,4,2,-3,1,-1,S,-1,False,-0.1,1
5,4,3,-4,-1,0,S,-1,False,-0.1,1
5,4,2,-4,-1,1,S,-1,False,-0.1,1
5,4,1,-3,0,0,S,-1,False,-0.1,1
5,4,1,-3,1,0,S,-1,False,-0.1,1
5,4,2,-3,-1,0,S,-1,False,-0.1,1
5,4,1,-3,0,-1,S,-1,False,-0.1,1
5,4,1,-4,1,0,S,-1,False,-0.1,1
5,4,1,-4,0,0,S,-1,False,-0.10900000000000001,1
5,4,1,-4,1,0,S,-1,False,-0.19,2
5,4,2,-4,-1,-1,S,-1,False,-0.1,1
5,4,1,-5,1,-1,S,-1,False,-0.1,1
5,4,2,-5,-1,1,S,-1,False,-0.11710000000000001,1
5,4,1,-4,1,0,S,-1,False,-0.271,3
5,4,1,-4,-1,-1,S,-1,False,-0.1,1
5,4,0,-5,-1,0,S,-1,False,-0.1,1
5,4,-1,-5,0,0,S,-1,False,-0.1,1
5,4,-1,-5,1,1,S,-1,False,-0.1,1
5,4,0,-4,0,0,S,-1,False,-0.1,1
5,4,0,-4,-1,1,S,-1,False,-0.1,1
5,4,0,-4,1,1,S,-1,False,-0.1,1
5,4,1,-3,-1,1,S,-1,False,-0.1,1
5,4,0,-2,-1,-1,S,-1,False,-0.1,1
5,4,-1,-3,-1,1,S,-1,False,-0.1,1
5,4,-2,-2,1,0,S,-1,False,-0.1,1
5,4,-1,-2,-1,1,S,-1,False,-0.1,1
5,4,-1,-2,0,1,S,-1,False,-0.1,1
5,4,-1,-1,-1,1,S,-1,False,-0.1,1
3,4,-2,0,0,0,.,-1,False,-0.1,1
1,4,-2,0,0,-1,.,-1,False,-0.1,1
1,4,-2,-1,0,-1,.,-1,False,-0.1,1
1,4,-2,-1,-1,0,.,-1,False,-0.1,1
1,4,-3,-1,-1,1,.,-1,False,-0.1,1
1,4,-4,0,-1,1,.,-1,False,-0.1,1
1,4,-5,1,0,0,.,-1,False,-0.1,1
1,4,-5,1,-1,1,.,-1,False,-0.1,1
1,4,-5,2,1,-1,.,-1,False,-0.1,1
1,4,-4,1,0,1,.,-1,False,-0.1,1
1,4,-4,2,1,1,.,-1,False,-0.1,1
1,4,-3,3,1,0,.,-1,False,-0.1,1
1,4,-3,3,-1,-1,.,-1,False,-0.1,1
1,4,-3,3,1,1,.,-1,False,-0.1,1
1,4,-2,4,0,-1,.,-1,False,-0.1,1
1,4,-2,3,0,1,.,-1,False,-0.1,1
1,4,-2,4,0,1,.,-1,False,-0.1,1
1,4,-2,4,-1,1,.,-1,False,-0.1,1
1,4,-3,5,1,-1,.,-1,False,-0.10900000000000001,1
1,4,-2,4,0,-1,.,-1,False,-0.19,2
1,4,-2,3,0,0,.,-1,False,-0.10900000000000001,1
1,4,-2,3,0,1,.,-1,False,-0.199,2
1,4,-2,3,0,1,.,-1,False,-0.2791,3
1,4,-2,4,1,-1,.,-1,False,-0.1,1
1,4,-1,3,1,1,.,-1,False,-0.1,1
1,4,0,4,1,1,.,-1,False,-0.1,1
1,4,0,4,-1,1,.,-1,False,-0.1,1
1,4,0,4,0,0,.,-1,False,-0.1,1
1,4,0,4,-1,-1,.,-1,False,-0.1,1
1,4,0,4,-1,-1,.,-1,False,-0.199,2
1,4,-1,3,1,1,.,-1,False,-0.199,2
1,4,0,4,1,1,.,-1,False,-0.19,2
1,4,1,5,1,0,.,-1,False,-0.1,1
